post_id,title,category,score,num_comments,author,collected_at
49456819,Europe's last regular standard-gauge steam passenger service,sports,112,26,GungulSurm,2026-08-30 22:09:37.693018
49489968,SteamOS 3.9.0 Preview,sports,41,25,EspadaV9,2026-08-30 22:09:37.696788
49466006,Decompiling a Nintendo 64 game in 84 days,sports,268,182,knackers,2026-08-30 22:09:37.696788
49422784,The entire city of San Francisco as a video game,sports,610,172,centrosphere,2026-08-30 22:09:37.696788
49477217,"Show HN: Texttile, a multiplayer blog engine for people who write together",sports,13,3,klausbreyer,2026-08-30 22:09:37.696788
49463464,Two Alleged 'TeamPCP' Hackers Arrested in Australia,sports,20,2,hacb,2026-08-30 22:09:37.698795
49490870,Nancy Grace Roman Space Telescope,science,262,92,JumpCrisscross,2026-08-30 22:09:39.708993
49486172,Our decision on Cursor following its acquisition by SpaceX,science,825,516,meetpateltech,2026-08-30 22:09:39.708993
49481455,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,science,119,40,stephenchung,2026-08-30 22:09:39.708993
49493244,What we want is a hunter gatherer lifestyle with space age tools (2022),science,78,88,bilsbie,2026-08-30 22:09:39.708993
49477925,Interactive pattern discovery in binaries (FF-16-TUI),science,30,3,HexLasso,2026-08-30 22:09:39.708993
49420530,Peppermint oil reduces blood pressure by 8.48 mmHg in small study,science,231,108,brandonb,2026-08-30 22:09:39.708993
49466989,Why HPSC Is a Big Deal for Space Exploration,science,27,8,mooreds,2026-08-30 22:09:39.708993
49467699,Compromising Signal's Contact Discovery Enclave (SGX),science,12,4,RobLach,2026-08-30 22:09:39.708993
49438865,"Show HN: I missed the moving blocks, so I built a real Linux disk defragmenter",entertainment,76,62,gbin,2026-08-30 22:09:41.713168
49497227,Show HN: Bolnee-Chat – Self Hosted Chatbot Integration in Your Business Website,entertainment,31,0,AniketWathore,2026-08-30 22:09:41.713168
49497500,"Show HN: Drop a SQL schema, get an interactive ER diagram",entertainment,6,2,PatuDev,2026-08-30 22:09:41.713168
49447178,Show HN: Typebase – A single-folder back end you write in TypeScript,entertainment,111,30,andrewww-dev,2026-08-30 22:09:41.713168
49497217,Memo to Ridley Scott: no one needs more Alien: Covenant movies,entertainment,14,11,dtnm,2026-08-30 22:09:41.713168
49476894,Show HN: SubSmith – Turn your own videos into language-learning material,entertainment,74,51,IbrahimF96,2026-08-30 22:09:41.713168
49461817,Show HN: The load-bearing vocabulary of Claude,entertainment,689,321,Labo333,2026-08-30 22:09:41.713168
49483038,"Show HN: Sesame - a local-first, open-source password manager",entertainment,63,84,d0mkaaa,2026-08-30 22:09:41.713168
49428343,"Box of 300 Love Letters Showed Up, What Whimsical WWII Soldier Who Wrote Them?",entertainment,40,8,gmays,2026-08-30 22:09:41.713168
49491755,Show HN: Flint – A minimal C/C++ package manager and build tool written in C,entertainment,12,2,mbhatt99,2026-08-30 22:09:41.713168
49471965,"Show HN: OpenTIE and OpenXWA, Modern Ports of Tie Fighter and X-Wing Alliance",entertainment,224,57,elyosh,2026-08-30 22:09:41.713168
49491968,Show HN: PhpEZ – A tiny PHP framework for shared LAMP hosting,entertainment,10,2,qcfe,2026-08-30 22:09:41.713168
49466704,"Show HN: Watches user sessions, finds bugs that matter, and fixes them",entertainment,40,11,aray07,2026-08-30 22:09:41.713168
49471407,Show HN: We built open OpenRouter that turns usage into a better model,entertainment,220,46,SilenN,2026-08-30 22:09:41.713168
49489682,"Show HN: The impact that made the Moon, 262k particles in a browser tab",entertainment,10,9,gaploid,2026-08-30 22:09:41.713168
49452037,Show HN: Build your own theme park,entertainment,57,25,thealexanderlee,2026-08-30 22:09:41.713168
49492298,Breaking persistent undo shows Neovim can't be trusted,entertainment,17,2,hoorible,2026-08-30 22:09:41.713168
49418813,Review: Chuwi's $449 Unibook laptop is a funhouse-mirror MacBook Neo,entertainment,57,40,rbanffy,2026-08-30 22:09:41.713168
49468816,Show HN: Voronoi Go,entertainment,155,26,igpay,2026-08-30 22:09:41.713168
49481956,Show HN: Blast – Open-source sandbox-as-a-service,entertainment,11,0,calebhwin,2026-08-30 22:09:41.713168
49467551,"Show HN: My Claude quota ran out in 10 minutes, so I made a tool to find out why",entertainment,88,67,sachinneravath,2026-08-30 22:09:41.713168
49445286,Show HN: Buslens – where can I get to by bus? (UK),entertainment,83,55,RobinL,2026-08-30 22:09:41.713168
49488996,Show HN: Qwiksi a CLI tool for adding your signature to a PDFs,entertainment,9,0,krisraven,2026-08-30 22:09:41.713168
49465291,Show HN: Restoredrill – proves your Postgres backups restore,entertainment,49,23,ahmadpiran,2026-08-30 22:09:41.713168
49464459,Show HN: RealDiff – runtime behavior diffing for pull requests (six languages),entertainment,40,10,issacnitin,2026-08-30 22:09:41.713168
